MitgliedsID;PersonID;MitgliedsBeitragsID;AdressID;KontaktID;EintrittID;MitgliedsStatusID;KommentarID
127;1;1;1;1;1;1;
327;2;2;;2;2;2;1
400;3;3;3;3;3;3;
214;4;4;4;4;4;4;
58;5;5;;5;5;5;
260;6;6;6;6;6;6;
50;7;7;7;7;7;7;2
135;8;8;;8;8;8;
350;9;9;9;9;9;9;
189;10;10;;10;10;10;
149;11;11;11;11;11;11;
345;12;12;12;12;12;12;
348;13;13;13;;13;13;
4;14;14;14;14;14;14;
380;15;15;15;15;15;15;
170;16;16;16;16;16;16;
392;17;17;17;17;17;17;
314;18;18;18;18;18;18;
406;19;19;19;19;19;19;
328;20;20;20;20;20;20;
382;21;21;;21;21;21;
175;22;22;22;22;22;22;
395;23;;;23;;23;3
364;24;24;24;24;24;24;
85;25;;25;25;;25;4
263;26;26;26;26;26;26;
89;27;;27;27;;27;4
128;28;28;28;28;28;28;
376;29;29;29;29;29;29;
65;30;;30;30;;30;4
370;31;31;31;31;31;31;
297;32;32;32;32;32;32;5
53;33;33;33;;33;33;
207;34;34;34;34;34;34;
244;35;35;;35;35;35;
32;36;36;36;36;36;36;
95;37;;37;37;;37;5
77;38;38;38;38;38;38;
80;39;39;39;39;39;39;6
340;40;40;40;40;40;40;
179;41;41;41;41;41;41;
190;42;42;42;42;42;42;
417;43;43;43;43;43;43;
24;44;44;;44;44;44;
49;45;45;;45;45;45;
120;46;46;46;46;46;46;
184;47;47;;47;47;47;
353;48;48;;48;48;48;
45;49;49;49;49;49;49;
90;50;50;50;50;50;50;
20;51;51;51;;51;51;7
204;52;52;52;52;52;52;
419;53;53;53;53;53;53;8
16;54;54;54;54;54;54;
358;55;55;55;55;55;55;9
15;56;56;56;56;56;56;
116;57;57;57;57;57;57;
278;58;58;58;58;58;58;
375;59;59;59;59;59;59;
61;60;;60;60;;60;4
159;61;61;;61;61;61;
320;62;62;62;;62;62;
247;63;63;63;63;63;63;
104;64;;;64;;64;4
307;65;65;65;65;65;65;
309;66;66;66;66;66;66;
188;67;67;67;67;67;67;
326;68;;;68;;68;10
291;69;69;;69;69;69;
76;70;70;70;;70;70;
332;71;71;71;71;71;71;
132;72;72;72;72;72;72;
28;73;73;;73;73;73;
356;74;74;74;74;74;74;
19;75;75;75;75;75;75;
124;76;76;;;76;76;
262;77;77;77;77;77;77;
200;78;78;78;78;78;78;11
381;79;;79;79;;79;11
418;80;80;80;80;80;80;
231;81;81;81;81;81;81;
91;82;82;82;82;82;82;
397;83;83;83;83;83;83;
227;84;84;;84;84;84;
111;85;85;85;85;85;85;
412;86;86;86;86;86;86;
374;87;87;87;87;87;87;
148;88;88;88;;88;88;
286;89;89;;89;89;89;
229;90;90;;90;90;90;
311;91;91;91;91;91;91;
40;92;92;92;92;92;92;
155;93;93;93;93;93;93;
367;94;94;94;94;94;94;
13;95;95;95;95;95;95;
317;96;96;;96;96;96;
113;97;97;97;97;97;97;
393;98;98;98;98;98;98;
144;99;99;99;99;99;99;
396;100;100;100;100;100;100;
407;101;101;101;101;101;101;
145;102;102;102;102;102;102;
186;103;;;103;;103;4
136;104;104;104;104;104;104;
