MitgliedsBeitragsID; JahresBeitrag ;ZahlArt;LetzteBeitragsZahlung
1; 60 € ;Abbuchung;
2; 60 € ;Abbuchung;
3; 100 € ;;
4; 60 € ;Abbuchung;
5; 60 € ;;
6; 120 € ;Abbuchung;
7; 200 € ;keine;
8; 100 € ;Abbuchung;
9; 60 € ;Abbuchung;
10; 72 € ;Abbuchung;
11; 150 € ;;
12; 60 € ;Abbuchung;
13; 60 € ;Abbuchung;
14; 60 € ;Abbuchung;
15; 60 € ;Abbuchung;
16; 60 € ;Dauerauftrag;
17; 60 € ;Dauerauftrag;
18; 100 € ;Abbuchung;
19; 60 € ;Abbuchung;
20; 60 € ;Abbuchung;
21; 100 € ;Abbuchung;
22; 300 € ;Abbuchung;
;;;
24; 120 € ;Abbuchung;
;;;
26; 60 € ;Dauerauftrag;
;;;
28; 60 € ;Abbuchung;
29; 60 € ;Abbuchung;
;;;
31; 120 € ;Abbuchung;
32; 60 € ;keine;
33; 60 € ;Dauerauftrag;
34; 60 € ;Abbuchung;
35; 60 € ;Abbuchung;
36; 60 € ;Abbuchung;
;;;
38; 60 € ;Abbuchung;
39; 60 € ;Abbuchung;
40; 60 € ;Abbuchung;
41; 60 € ;Abbuchung;
42; 60 € ;Abbuchung;
43; 70 € ;PayPal;
44; 72 € ;Dauerauftrag;
45; 200 € ;;
46; 100 € ;;
47; 60 € ;Abbuchung;
48; 60 € ;Abbuchung;
49; 120 € ;Dauerauftrag;
50; 60 € ;Abbuchung;
51; 60 € ;;2023
52; 60 € ;Abbuchung;
53; 70 € ;PayPal;
54; 100 € ;;
55; 60 € ;Abbuchung;
56; 60 € ;Abbuchung;
57; 60 € ;Abbuchung;
58; 60 € ;Abbuchung;
59; 84 € ;Dauerauftrag;
;;;
61; 60 € ;Abbuchung;
62; 60 € ;Abbuchung;
63; 60 € ;Abbuchung;
;;;
65; 60 € ;Abbuchung;
66; 60 € ;Abbuchung;
67; 120 € ;Abbuchung;
;;;
69; 60 € ;Abbuchung;
70; 60 € ;Dauerauftrag;
71; 120 € ;Abbuchung;
72; 102 € ;Abbuchung;
73; 60 € ;Dauerauftrag;
74; 60 € ;Abbuchung;
75; 60 € ;;
76; 60 € ;Abbuchung;
77; 60 € ;Abbuchung;
78; 60 € ;Abbuchung;
;;;
80; 70 € ;PayPal;
81; 600 € ;Abbuchung;
82; 60 € ;Abbuchung;
83; 60 € ;;
84; 60 € ;Abbuchung;
85; 60 € ;Abbuchung;
86; 120 € ;;
87; 60 € ;Abbuchung;
88; 60 € ;;
89; 60 € ;Abbuchung;
90; 60 € ;Abbuchung;
91; 60 € ;Abbuchung;
92; 60 € ;;
93; 60 € ;Abbuchung;
94; 60 € ;Abbuchung;
95; 60 € ;;
96; 60 € ;Abbuchung;
97; 60 € ;Abbuchung;
98; 100 € ;Abbuchung;
99; 60 € ;Abbuchung;
100; 60 € ;Abbuchung;
101; 100 € ;;
102; 60 € ;Abbuchung;
;;;
104; 60 € ;Abbuchung;
105; 120 € ;Abbuchung;
106; 60 € ;Abbuchung;
107; 60 € ;Abbuchung;
108; 60 € ;;
;;;
110; 60 € ;Abbuchung;
111; 60 € ;Abbuchung;
112; 60 € ;Abbuchung;
113; 120 € ;;
114; 60 € ;Abbuchung;
115; 60 € ;Abbuchung;
116; 60 € ;Abbuchung;
117; 60 € ;Abbuchung;
118; 60 € ;Abbuchung;
119; 60 € ;;
120; 60 € ;Abbuchung;
121; 60 € ;Abbuchung;
122; 60 € ;;
123; 60 € ;;
124; 60 € ;Abbuchung;
;;;
126; 60 € ;Abbuchung;
127; 61 € ;Abbuchung;
128; 60 € ;Abbuchung;
129; 60 € ;Abbuchung;
130; 60 € ;Abbuchung;
131; 60 € ;;
132; 60 € ;Abbuchung;
;;;
;;;
135; 60 € ;Abbuchung;
136; 60 € ;Abbuchung;
137; 60 € ;Abbuchung;
138; 60 € ;Abbuchung;
139; 60 € ;Abbuchung;
140; 60 € ;;
141; 60 € ;Abbuchung;
142; 60 € ;Abbuchung;
143; 60 € ;Dauerauftrag;
144; 60 € ;Abbuchung;
145; 60 € ;Abbuchung;
146; 100 € ;Abbuchung;
147; 60 € ;Abbuchung;
148; 60 € ;Abbuchung;
149; 60 € ;Abbuchung;
150; 60 € ;Abbuchung;
151; 100 € ;Abbuchung;
152; 60 € ;Abbuchung;
153; 60 € ;Abbuchung;
154; 100 € ;Abbuchung;
155; 60 € ;Abbuchung;
156; 60 € ;;
157; 60 € ;Abbuchung;
158; 60 € ;Abbuchung;
